Shape,Color,Layout_X,Layout_Y,Style,User_Gaze_X,User_Gaze_Y,Timestamp,Interaction_Type
Triangle,"RGB(255,255,0)",3,4,Retro,0.9472485773838587,0.3581627180328405,2025-01-01 00:00:00,Hover
Triangle,"RGB(255,0,0)",2,1,Modern,0.9860010638228709,0.11355759219962902,2025-01-01 00:00:01,Hover
Triangle,"RGB(255,0,0)",0,3,Minimal,0.7533781852589416,0.6715731955927996,2025-01-01 00:00:02,Hover
Circle,"RGB(0,255,0)",0,1,Modern,0.37625958553091576,0.5203077009037933,2025-01-01 00:00:03,Click
Triangle,"RGB(255,255,0)",3,2,Minimal,0.08350071669866876,0.7723183917356393,2025-01-01 00:00:04,Drag
Triangle,"RGB(255,255,0)",2,0,Retro,0.7771469159274368,0.5201635011119934,2025-01-01 00:00:05,Hover
Circle,"RGB(0,255,0)",2,2,Minimal,0.558404249735805,0.8521815003185401,2025-01-01 00:00:06,Hover
Triangle,"RGB(0,0,255)",4,3,Minimal,0.4242220092469763,0.5519068387744855,2025-01-01 00:00:07,Click
Circle,"RGB(255,0,0)",2,1,Minimal,0.906354385094736,0.5609379715353863,2025-01-01 00:00:08,Drag
Square,"RGB(0,255,255)",2,1,Minimal,0.11119748230615134,0.876653602658345,2025-01-01 00:00:09,Drag
Triangle,"RGB(255,0,0)",2,4,Minimal,0.49262510429085915,0.40348286621239704,2025-01-01 00:00:10,Click
Square,"RGB(255,0,0)",1,1,Modern,0.011353644767419069,0.13401522845064073,2025-01-01 00:00:11,Click
Circle,"RGB(0,0,255)",4,4,Minimal,0.46866064199412627,0.028782676313338973,2025-01-01 00:00:12,Drag
Triangle,"RGB(255,0,0)",0,0,Minimal,0.05630327568183735,0.755137255673619,2025-01-01 00:00:13,Hover
Circle,"RGB(0,255,0)",3,3,Retro,0.11881791626807192,0.6203095513534647,2025-01-01 00:00:14,Drag
Square,"RGB(0,255,0)",0,4,Minimal,0.11752624677710488,0.7040797680992236,2025-01-01 00:00:15,Click
Circle,"RGB(255,255,0)",4,0,Retro,0.6492103021160636,0.21296416150891073,2025-01-01 00:00:16,Hover
Triangle,"RGB(0,255,255)",3,1,Modern,0.7460448792654233,0.13637147558676976,2025-01-01 00:00:17,Hover
Triangle,"RGB(255,0,0)",4,1,Minimal,0.5833687650971596,0.014544665667881929,2025-01-01 00:00:18,Click
